SKU,Title,Collection,Category,Retail_Price_USD,Supplier_Cost_USD,Gross_Margin_Percent,Bronze_Price_0_75x,Silver_Price_0_65x,Gold_Price_0_50x,Description,Supplier
EL-NAT-BLK-6MM-01,Italian Luxury Eyelashes - Natural Black 6mm,Sculpted Lashes,Eyelashes,34.99,7.50,78.5,26.24,22.74,17.49,Lightweight handcrafted eyelashes with natural weaving,Italian Beauty Imports
EL-NAT-BRN-8MM-01,Italian Luxury Eyelashes - Natural Brown 8mm,Sculpted Lashes,Eyelashes,39.99,8.00,79.9,29.99,25.99,19.99,Sophisticated brown shade for warm undertones,Italian Beauty Imports
EL-NAT-BRU-10MM-01,Italian Luxury Eyelashes - Natural Brunette 10mm,Sculpted Lashes,Eyelashes,44.99,8.50,81.1,33.74,29.24,22.49,Rich brunette tone with voluminous 10mm length,Italian Beauty Imports
EL-NAT-BLD-12MM-01,Italian Luxury Eyelashes - Natural Blonde 12mm,Sculpted Lashes,Eyelashes,49.99,9.00,81.9,37.49,32.49,24.99,Warm blonde fibers with dramatic 12mm length,Italian Beauty Imports
EL-NAT-BLK-3PAIR-01,Italian Luxury Eyelashes - Natural Black 3-Pair Bundle,Sculpted Lashes,Eyelashes,89.99,20.00,77.8,67.49,58.49,44.99,Premium bundle with three pairs of natural black lashes,Italian Beauty Imports
EL-NAT-MIX-5PAIR-01,Italian Luxury Eyelashes - Natural Mix 5-Pair Bundle,Sculpted Lashes,Eyelashes,139.99,32.00,77.1,104.99,90.99,69.99,Ultimate luxury collection with five pairs in natural styles,Italian Beauty Imports
EL-DRA-BLK-10MM-01,Dramatic Volume Eyelashes - Black 10mm,Sculpted Lashes,Eyelashes,54.99,9.50,82.7,41.24,35.74,27.49,Bold dramatic style with ultra-voluminous 10mm length,Korean Beauty Exports
EL-DRA-BLK-12MM-01,Dramatic Volume Eyelashes - Black 12mm,Sculpted Lashes,Eyelashes,59.99,10.50,82.5,44.99,38.99,29.99,Extra-long dramatic style with 12mm premium voluminous fibers,Korean Beauty Exports
EL-DRA-BRN-10MM-01,Dramatic Volume Eyelashes - Brown 10mm,Sculpted Lashes,Eyelashes,54.99,10.00,81.8,41.24,35.74,27.49,Sophisticated brown dramatic lashes with 10mm volumizing length,Korean Beauty Exports
EL-DRA-BLK-14MM-01,Dramatic Volume Eyelashes - Black 14mm,Sculpted Lashes,Eyelashes,64.99,11.50,82.3,48.74,42.24,32.49,Maximum drama with 14mm premium extra-long fibers,Korean Beauty Exports
EL-DRA-3PAIR-01,Dramatic Volume Eyelashes - 3-Pair Bundle,Sculpted Lashes,Eyelashes,129.99,28.00,78.5,97.49,84.49,64.99,Versatile bundle with three dramatic styles,Korean Beauty Exports
EL-WIN-BLK-8MM-01,Winged Glamour Eyelashes - Black 8mm,Sculpted Lashes,Eyelashes,49.99,9.00,81.9,37.49,32.49,24.99,Classic winged style with 8mm premium fibers,Chinese Beauty Imports
EL-WIN-BLK-10MM-01,Winged Glamour Eyelashes - Black 10mm,Sculpted Lashes,Eyelashes,54.99,9.50,82.7,41.24,35.74,27.49,Dramatic winged design with 10mm volumizing length,Chinese Beauty Imports
EL-WIN-BRN-12MM-01,Winged Glamour Eyelashes - Brown 12mm,Sculpted Lashes,Eyelashes,59.99,10.00,83.3,44.99,38.99,29.99,Warm brown winged lashes with 12mm dramatic length,Chinese Beauty Imports
EL-WIN-BLK-14MM-01,Winged Glamour Eyelashes - Black 14mm,Sculpted Lashes,Eyelashes,64.99,11.00,83.1,48.74,42.24,32.49,Maximum winged impact with 14mm extra-long premium fibers,Chinese Beauty Imports
EL-WIN-3PAIR-01,Winged Glamour Eyelashes - 3-Pair Bundle,Sculpted Lashes,Eyelashes,124.99,27.00,78.4,93.74,81.24,62.49,Versatile winged collection with three styles,Chinese Beauty Imports
EL-CAT-BLK-10MM-01,Cat-Eye Classic Eyelashes - Black 10mm,Sculpted Lashes,Eyelashes,49.99,9.00,81.9,37.49,32.49,24.99,Iconic cat-eye cut with 10mm premium fibers,Chinese Beauty Imports
EL-CAT-BRN-12MM-01,Cat-Eye Classic Eyelashes - Brown 12mm,Sculpted Lashes,Eyelashes,59.99,10.00,83.3,44.99,38.99,29.99,Sophisticated brown cat-eye with 12mm volumizing length,Chinese Beauty Imports
EL-CAT-BLU-8MM-01,Cat-Eye Classic Eyelashes - Blue 8mm,Sculpted Lashes,Eyelashes,54.99,10.50,80.9,41.24,35.74,27.49,Unique blue-tinted cat-eye with 8mm elegant length,Chinese Beauty Imports
EL-CAT-BLK-14MM-01,Cat-Eye Classic Eyelashes - Black 14mm,Sculpted Lashes,Eyelashes,64.99,11.00,83.1,48.74,42.24,32.49,Dramatic cat-eye with 14mm extra-long premium fibers,Chinese Beauty Imports
EL-CAT-3PAIR-01,Cat-Eye Classic Eyelashes - 3-Pair Bundle,Sculpted Lashes,Eyelashes,124.99,27.00,78.4,93.74,81.24,62.49,Essential cat-eye collection with three versatile styles,Chinese Beauty Imports
EL-DELUXE-KIT-01,Deluxe Eyelash Care & Styling Kit,Sculpted Lashes,Eyelashes,64.99,12.00,81.5,48.74,42.24,32.49,Complete eyelash maintenance bundle,Beauty Tools Distributor
EL-PREMIUM-SET-01,Ultimate Eyelash Collection - 7-Pair Luxury Set,Sculpted Lashes,Eyelashes,249.99,55.00,77.9,187.49,162.49,124.99,Complete curated collection with 7 premium pairs,Italian Beauty Imports
NA-RED-S-GEL-01,Luxury Red Gel Nails - Small Size,Artisan Nails,Nails,39.99,8.50,78.8,29.99,25.99,19.99,Classic luxury red gel nail polish in small bottle,Korean Beauty Labs
NA-PINK-S-GEL-01,Soft Pink Gel Nails - Small Size,Artisan Nails,Nails,39.99,8.50,78.8,29.99,25.99,19.99,Elegant soft pink gel nail polish in small bottle,Korean Beauty Labs
NA-NUDE-S-GEL-01,Nude Elegance Gel Nails - Small Size,Artisan Nails,Nails,39.99,8.50,78.8,29.99,25.99,19.99,Versatile nude gel nail polish in small bottle,Korean Beauty Labs
NA-BLUSH-S-MATTE-01,Blush Matte Nails - Small Size,Artisan Nails,Nails,39.99,8.00,79.9,29.99,25.99,19.99,Trendy blush matte nail polish with ultra-smooth finish,Korean Beauty Labs
NA-PLUM-S-GLOSSY-01,Deep Plum Glossy Nails - Small Size,Artisan Nails,Nails,39.99,8.50,78.8,29.99,25.99,19.99,Rich plum glossy nail polish with luxurious shine,Korean Beauty Labs
NA-GOLD-S-GLITTER-01,Gold Sparkle Glitter Nails - Small Size,Artisan Nails,Nails,44.99,9.00,79.9,33.74,29.24,22.49,Luxurious gold glitter nail polish with premium sparkle effect,Korean Beauty Labs
NA-FRENCH-SET-M-01,French Manicure Set - Medium Size,Artisan Nails,Nails,64.99,14.00,78.4,48.74,42.24,32.49,Classic French manicure duo with white tip and soft pink base,Korean Beauty Labs
NA-OMBRE-KIT-L-01,Ombre Gradient Nail Kit - Large Size,Artisan Nails,Nails,74.99,16.00,78.6,56.24,48.74,37.49,Professional ombre gradient nail kit with 3 coordinated shades,Korean Beauty Labs
NA-GLITTER-3SET-01,Glitter Paradise 3-Shade Set,Artisan Nails,Nails,79.99,18.00,77.5,59.99,51.99,39.99,Triple glitter set with gold silver and rose-gold sparkle shades,Korean Beauty Labs
NA-DELUXE-KIT-12-01,Deluxe Nail Care Master Kit - 12-Piece Set,Artisan Nails,Nails,84.99,18.00,78.8,63.74,55.24,42.49,Complete manicure and nail care set with 12 essential tools,Beauty Tools Distributor
NA-METALLIC-5SET-01,Metallic Luxury 5-Shade Set,Artisan Nails,Nails,89.99,20.00,77.8,67.49,58.49,44.99,Premium metallic nail polish set with 5 sophisticated chrome finishes,Korean Beauty Labs
NA-RED-M-GEL-01,Luxury Red Gel Nails - Medium Size,Artisan Nails,Nails,54.99,12.00,78.1,41.24,35.74,27.49,Classic luxury red gel nail polish in medium bottle,Korean Beauty Labs
NA-NUDE-M-GEL-01,Nude Elegance Gel Nails - Medium Size,Artisan Nails,Nails,54.99,12.00,78.1,41.24,35.74,27.49,Versatile nude gel nail polish in medium 25ml bottle,Korean Beauty Labs
NA-PLUM-M-GLOSSY-01,Deep Plum Glossy Nails - Medium Size,Artisan Nails,Nails,59.99,12.50,79.1,44.99,38.99,29.99,Rich plum glossy nail polish in medium 25ml bottle,Korean Beauty Labs
NA-CORAL-S-GEL-01,Coral Sunrise Gel Nails - Small Size,Artisan Nails,Nails,39.99,8.50,78.8,29.99,25.99,19.99,Vibrant coral gel nail polish with warm peachy glow,Korean Beauty Labs
NA-NAVY-S-MATTE-01,Navy Elegance Matte Nails - Small Size,Artisan Nails,Nails,39.99,8.00,79.9,29.99,25.99,19.99,Deep navy matte nail polish with velvety finish,Korean Beauty Labs
NA-FOREST-S-GLOSSY-01,Forest Green Glossy Nails - Small Size,Artisan Nails,Nails,39.99,8.50,78.8,29.99,25.99,19.99,Rich forest green glossy nail polish with jewel-tone depth,Korean Beauty Labs
NA-ROSE-CHROME-KIT-01,Rose Chrome Luxury Nail Kit,Artisan Nails,Nails,69.99,15.00,78.6,52.49,45.49,34.99,Professional chrome nail kit with rose-gold metallic finish,Korean Beauty Labs
NA-PREMIUM-COLLECTION-12-01,Artisan Nails Premium Collection - 12 Shades,Artisan Nails,Nails,399.99,85.00,78.7,299.99,259.99,199.99,Luxury 12-bottle nail polish collection,Korean Beauty Labs
SP-ROUND-PINK-1PK-01,Premium Round Beauty Sponge - Single Pack,Makeup Essentials,Sponges,12.99,2.50,80.7,9.74,8.44,6.49,Professional round makeup sponge in soft pink,Beauty Sponge Manufacturers
SP-ROUND-BLACK-1PK-01,Premium Round Beauty Sponge - Black,Makeup Essentials,Sponges,12.99,2.50,80.7,9.74,8.44,6.49,Professional black round makeup sponge,Beauty Sponge Manufacturers
SP-TEARDROP-PINK-1PK-01,Teardrop Beauty Sponge - Pink Single Pack,Makeup Essentials,Sponges,14.99,2.75,81.6,11.24,9.74,7.49,Ergonomic teardrop-shaped makeup sponge in soft pink,Beauty Sponge Manufacturers
SP-TEARDROP-RAINBOW-1PK-01,Rainbow Teardrop Sponge - Single Pack,Makeup Essentials,Sponges,14.99,2.75,81.6,11.24,9.74,7.49,Colorful teardrop makeup sponge featuring vibrant rainbow gradient,Beauty Sponge Manufacturers
SP-WEDGE-PINK-3PK-01,Wedge Makeup Sponge - 3-Pack Pink,Makeup Essentials,Sponges,24.99,5.00,79.9,18.74,16.24,12.49,Professional wedge-shaped makeup sponge 3-pack,Beauty Sponge Manufacturers
SP-ROUND-ASSORT-3PK-01,Round Sponge Variety 3-Pack,Makeup Essentials,Sponges,27.99,5.50,80.3,20.99,18.19,13.99,Round makeup sponge 3-pack with pink black and white,Beauty Sponge Manufacturers
SP-DELUXE-KIT-10-01,Deluxe Sponge & Brush Kit - 10-Piece Set,Makeup Essentials,Sponges,59.99,12.00,79.9,44.99,38.99,29.99,Complete makeup application kit with 10 sponges and brushes,Beauty Tools Distributor
SP-LUXURY-SET-6-01,Luxury Sponge Collection - 6-Piece Set,Makeup Essentials,Sponges,49.99,10.00,79.9,37.49,32.49,24.99,Premium 6-piece sponge collection featuring mix of shapes,Beauty Sponge Manufacturers
SP-WEDDING-KIT-15-01,Professional Wedding Makeup Sponge Kit - 15-Pack,Makeup Essentials,Sponges,84.99,18.00,78.8,63.74,55.24,42.49,Complete professional kit with 15 premium sponges,Beauty Sponge Manufacturers
PKG-SMALL-BLACK-01,Luxury Black Gift Box - Small Size,Premium Packaging,Packaging,19.99,4.00,79.9,14.99,12.99,9.99,Elegant small black luxury gift box with matte finish,Packaging Manufacturers
PKG-SMALL-WHITE-01,Luxury White Gift Box - Small Size,Premium Packaging,Packaging,19.99,4.00,79.9,14.99,12.99,9.99,Elegant small white luxury gift box with glossy finish,Packaging Manufacturers
PKG-SMALL-GOLD-01,Luxury Gold Gift Box - Small Size,Premium Packaging,Packaging,24.99,5.00,79.9,18.74,16.24,12.49,Premium small gold gift box with luxurious metallic finish,Packaging Manufacturers
PKG-MEDIUM-BLACK-01,Luxury Black Gift Box - Medium Size,Premium Packaging,Packaging,27.99,5.50,80.3,20.99,18.19,13.99,Sophisticated medium black gift box perfect for product bundling,Packaging Manufacturers
PKG-MEDIUM-ROSE-01,Luxury Rose Gold Gift Box - Medium Size,Premium Packaging,Packaging,29.99,6.00,79.9,22.49,19.49,14.99,Elegant medium rose gold gift box with trendy metallic finish,Packaging Manufacturers
PKG-LARGE-GIFT-SET-01,Luxury Large Gift Set Box - Black,Premium Packaging,Packaging,34.99,7.00,79.9,26.24,22.74,17.49,Premium large gift set box in elegant black,Packaging Manufacturers
PKG-LARGE-GIFT-SET-GOLD-01,Luxury Large Gift Set Box - Gold,Premium Packaging,Packaging,39.99,8.00,79.9,29.99,25.99,19.99,Luxurious large gift set box in premium gold,Packaging Manufacturers
PKG-LUXURY-BUNDLE-DELUXE-01,Ultimate Luxury Bundle Box - Deluxe Premium,Premium Packaging,Packaging,44.99,9.00,79.9,33.74,29.24,22.49,Premium deluxe bundle box perfect for luxury gift sets,Packaging Manufacturers
PKG-HOLIDAY-SPECIAL-01,Holiday Special Limited Edition Gift Box,Premium Packaging,Packaging,37.99,7.50,80.2,28.49,24.69,18.99,Limited edition holiday-themed luxury gift box,Packaging Manufacturers
